bar_id,guest_count_count,guest_count_mean,guest_count_std,guest_count_min,guest_count_25%,guest_count_50%,guest_count_75%,guest_count_max
19531,1092.0,1.4706959706959708,1.191961416100493,1.0,1.0,1.0,2.0,16.0
3539,1251.0,1.4396482813749,0.7757285325389572,1.0,1.0,1.0,2.0,13.0
12392,829.0,1.8745476477683956,1.4591676517630132,1.0,1.0,1.0,2.0,13.0
1150,571.0,1.3677758318739055,0.6789660293112878,1.0,1.0,1.0,2.0,5.0
19146,338.0,1.4763313609467457,0.8686950048986283,1.0,1.0,1.0,2.0,6.0
1544,739.0,1.5899864682002707,0.9841328566262987,1.0,1.0,1.0,2.0,13.0
2285,506.0,1.4426877470355732,0.8142760189139063,1.0,1.0,1.0,2.0,9.0
432,1375.0,1.546909090909091,1.1033640381164809,1.0,1.0,1.0,2.0,10.0
3474,550.0,1.690909090909091,1.1026169776358228,1.0,1.0,1.0,2.0,10.0
5022,870.0,1.7850574712643679,0.9998882257017208,1.0,1.0,2.0,2.0,9.0
1532,691.0,1.460202604920405,0.8161908447928335,1.0,1.0,1.0,2.0,7.0
2034,598.0,1.411371237458194,0.83154180180527,1.0,1.0,1.0,2.0,9.0
11654,1931.0,1.583117555670637,1.0891384702676823,1.0,1.0,1.0,2.0,25.0
2388,921.0,1.6699239956568948,1.332559197918123,1.0,1.0,1.0,2.0,14.0
3210,1243.0,1.7884151246983104,1.102388410481959,1.0,1.0,1.0,2.0,8.0
2853,1574.0,1.4980940279542567,0.9004817111944678,1.0,1.0,1.0,2.0,9.0
5556,802.0,1.4463840399002494,1.026608851985954,1.0,1.0,1.0,2.0,13.0
1990,3259.0,1.4679349493709728,1.123087584286959,1.0,1.0,1.0,2.0,21.0
11290,1516.0,1.3364116094986807,1.0122777893814678,-1.0,1.0,1.0,2.0,16.0
9438,443.0,2.379232505643341,1.3589729778093844,1.0,1.0,2.0,4.0,8.0
1317,815.0,1.687116564417178,1.1374865195768873,1.0,1.0,1.0,2.0,10.0
16484,616.0,1.75487012987013,0.9422213759609291,1.0,1.0,2.0,2.0,6.0
1042,1544.0,1.51360103626943,0.8758717084530134,1.0,1.0,1.0,2.0,12.0
12764,290.0,1.5034482758620689,0.785897656869609,1.0,1.0,1.0,2.0,6.0
9446,636.0,1.4654088050314464,0.8476358913288218,1.0,1.0,1.0,2.0,9.0
10799,555.0,1.5315315315315314,1.0766626787548004,1.0,1.0,1.0,2.0,12.0
3211,877.0,1.5302166476624857,1.2004799548347242,1.0,1.0,1.0,2.0,14.0
19199,623.0,1.9967897271268058,1.2095504063980844,1.0,1.0,2.0,2.0,10.0
19207,519.0,1.4547206165703275,0.9348321081578564,1.0,1.0,1.0,2.0,13.0
17624,1344.0,1.7827380952380953,1.096450485100279,1.0,1.0,2.0,2.0,10.0
9384,781.0,1.503201024327785,1.102004000550687,1.0,1.0,1.0,2.0,12.0
2068,657.0,1.6757990867579908,1.0534099721041343,1.0,1.0,1.0,2.0,10.0
11086,678.0,2.0191740412979353,1.3428242121701701,1.0,1.0,2.0,3.0,9.0
3478,667.0,1.7211394302848575,0.9633929764517446,1.0,1.0,2.0,2.0,8.0
5401,89.0,2.1797752808988764,1.103319348734134,1.0,2.0,2.0,2.0,6.0
